"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2015",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2015,1,AR,"Electric Generators, Independent Power Producers",Total,1009793.57
2015,1,AR,"Electric Generators, Independent Power Producers",Coal,46538.97
2015,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,1931.74
2015,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,952615
2015,1,AR,"Electric Generators, Independent Power Producers",Petroleum,2932.03
2015,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,5775.83
2015,1,AR,"Electric Generators, Electric Utilities",Total,3254494.08
2015,1,AR,"Electric Generators, Electric Utilities",Coal,1574556.7
2015,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,429
2015,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,233911.08
2015,1,AR,"Electric Generators, Electric Utilities",Natural Gas,233485.9
2015,1,AR,"Electric Generators, Electric Utilities",Nuclear,1209164
2015,1,AR,"Electric Generators, Electric Utilities",Petroleum,2947.4
2015,1,AZ,Total Electric Power Industry,Total,8428762.8
2015,1,AZ,Total Electric Power Industry,Coal,3203003.12
2015,1,AZ,Total Electric Power Industry,Pumped Storage,-3320
2015,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,537103.3
2015,1,AZ,Total Electric Power Industry,Natural Gas,1515482.87
2015,1,AZ,Total Electric Power Industry,Nuclear,2973590
2015,1,AZ,Total Electric Power Industry,Petroleum,5979.46
2015,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,160788.27
2015,1,AZ,Total Electric Power Industry,Other Biomass,5235.86
2015,1,AZ,Total Electric Power Industry,Wind,15783.61
2015,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,15116.3
2015,1,AZ,"Combined Heat and Power, Commercial Power",Total,11377.97
2015,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,10176.69
2015,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2.63
2015,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1198.65
2015,1,AZ,"Combined Heat and Power, Electric Power",Total,4480.1
2015,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,4480.1
2015,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2015,1,AZ,"Electric Generators, Independent Power Producers",Total,940020.8
2015,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,772933.28
2015,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,132704.95
2015,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,3482.66
2015,1,AZ,"Electric Generators, Independent Power Producers",Wind,15783.61
2015,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,15116.3
2015,1,AZ,"Electric Generators, Electric Utilities",Total,7472883.92
2015,1,AZ,"Electric Generators, Electric Utilities",Coal,3203003.12
2015,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,-3320
2015,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,537103.3
2015,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,727892.8
2015,1,AZ,"Electric Generators, Electric Utilities",Nuclear,2973590
2015,1,AZ,"Electric Generators, Electric Utilities",Petroleum,5976.83
2015,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,26884.67
2015,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,1753.19
2015,1,CA,Total Electric Power Industry,Total,14202409.02
2015,1,CA,Total Electric Power Industry,Coal,29732.22
2015,1,CA,Total Electric Power Industry,Geothermal,1096348.68
2015,1,CA,Total Electric Power Industry,Pumped Storage,-85216
2015,1,CA,Total Electric Power Industry,Hydroelectric Conventional,865489.38
2015,1,CA,Total Electric Power Industry,Natural Gas,8958898.47
2015,1,CA,Total Electric Power Industry,Nuclear,1563700
2015,1,CA,Total Electric Power Industry,Other Gases,180717.04
2015,1,CA,Total Electric Power Industry,Other,70831.74
2015,1,CA,Total Electric Power Industry,Petroleum,5361.92
2015,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,688656.18
2015,1,CA,Total Electric Power Industry,Other Biomass,251565.72
2015,1,CA,Total Electric Power Industry,Wind,219293.69
2015,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,357029.97
2015,1,CA,"Combined Heat and Power, Industrial Power",Total,1197957.99
2015,1,CA,"Combined Heat and Power, Industrial Power",Coal,29732.22
2015,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,872816.23
2015,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,180717.04
2015,1,CA,"Combined Heat and Power, Industrial Power",Other,54952.49
2015,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,153.05
2015,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,267.04
2015,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,487.71
2015,1,CA,"Combined Heat and Power, Industrial Power",Wind,335.4
2015,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,58496.83
2015,1,CA,"Combined Heat and Power, Commercial Power",Total,228004.81
2015,1,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2015,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,395.82
2015,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,137266.21
2015,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,76.38
2015,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,5214.48
2015,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,84817.84
2015,1,CA,"Combined Heat and Power, Commercial Power",Wind,234.08
2015,1,CA,"Combined Heat and Power, Electric Power",Total,1595329.79
2015,1,CA,"Combined Heat and Power, Electric Power",Coal,0
2015,1,CA,"Combined Heat and Power, Electric Power",Geothermal,23485.11
2015,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,1477827.57
2015,1,CA,"Combined Heat and Power, Electric Power",Other Gases,0
2015,1,CA,"Combined Heat and Power, Electric Power",Other,5957.32
2015,1,CA,"Combined Heat and Power, Electric Power",Petroleum,626.17
2015,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,13143.03
2015,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,74290.6
2015,1,CA,"Electric Generators, Independent Power Producers",Total,5672922.15
2015,1,CA,"Electric Generators, Independent Power Producers",Geothermal,1001853.58
2015,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,37332.24
2015,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,3394591.91
2015,1,CA,"Electric Generators, Independent Power Producers",Other,9855.23
2015,1,CA,"Electric Generators, Independent Power Producers",Petroleum,1852.86
2015,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,659561.8
2015,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,132282.78
2015,1,CA,"Electric Generators, Independent Power Producers",Wind,211349.21
2015,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,224242.55
2015,1,CA,"Electric Generators, Electric Utilities",Total,5508194.28
2015,1,CA,"Electric Generators, Electric Utilities",Geothermal,71010
2015,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,-85216
2015,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,827761.33
2015,1,CA,"Electric Generators, Electric Utilities",Natural Gas,3076396.55
