YEAR	STATE	UNSUSTAINABLE	SUSTAINABLE	TOTAL GENERATION	
1996	UT	31438209	1513652	32951861	
2000	CO	42648042	1517504	44165546	
1998	CO	37343353	1538210	38881563	
2003	AK	4750420	1588312	6338732	
1996	WV	85631715	1612673	87244388	
2012	AK	5328757.69	1617661.42	6946419.11	
1999	CO	37890682	1630606	39521288	
2005	ND	30301036	1631579	31932615	
2013	AK	4864278.24	1632543.4	6496821.64	
2013	HI	8626519.66	1640532.61	10267052.27	
2004	WV	88107466	1642096	89749562	
2009	RI	6051369.87	1645454.13	7696824	
2002	ND	29658142	1648170	31306312	
1992	CO	31635824	1659666	33295490	
2007	NM	34308122	1677211	35985333	
1994	CO	33967545	1684366	35651911	
2008	WV	89431089	1692008	91123097	
2005	WV	91927388	1698897	93626285	
2003	WV	92994718	1716836	94711554	
1996	CO	35404000	1733360	37137360	
1992	ND	27029520	1737377	28766897	
2014	AK	4291935.95	1750893.68	6042829.63	
2014	HI	8437102.48	1767055.77	10204158.25	
1991	ND	25882333	1796815	27679148	
2006	WV	92010044	1805760	93815804	
2004	ND	28111699	1824407	29936106	
2003	ND	29488649	1833480	31322129	
1991	CO	30486601	1834992	32321593	
1993	UT	32218060	1840042	34058102	
2009	NM	37822994	1851345	39674339	
2005	WY	43712962	1854345	45567307	
2007	WY	43768057	1865429	45633486	
1994	ND	27242002	1913823	29155825	
2008	UT	44634159	1944604	46578763	
2006	ND	28928135	1953002	30881137	
2006	WY	43439034	1961336	45400370	
2003	OK	58660232	1966624	60626856	
2008	NM	35032829	1977008	37009837	
2007	ND	29230945	1993160	31224105	
1993	CO	32221148	2019035	34240183	
2010	NM	34179741	2071801	36251542	
1997	CO	35540677	2101884	37642561	
2003	UT	35921423	2102243	38023666	
2005	CO	47510471	2106223	49616694	
2002	OK	57063688	2119731	59183419	
2008	WY	44346609	2153839	46500448	
2007	KY	95070695	2154624	97225319	
2002	RI	4890791	2165974	7056765	
2000	ND	29132247	2178949	31311196	
1991	OK	46867579	2231538	49099117	
1995	CO	33361182	2256052	35617234	
2000	KY	90669112	2336971	93006083	
2010	WV	78441721	2347226	80788947	
1998	ND	28322113	2349838	30671951	
2000	OK	53213508	2358449	55571957	
1996	OK	49466423	2383197	51849620	
1994	IN	104796679	2385378	107182057	
2008	KY	95473720	2389620	97863340	
1997	CT	15263217	2411081	17674298	
2009	WV	68358653	2423861	70782514	
1994	UT	32768478	2428356	35196834	
2011	NM	35744647.88	2436491.42	38181139.3	
2006	CO	48208901	2489452	50698353	
1998	IN	114972350	2499175	117471525	
2001	OK	52734751	2514699	55249450	
1995	ND	26481214	2523033	29004247	
2006	OK	68076463	2538417	70614880	
1991	IN	99441328	2539971	101981299	
1999	KY	90112927	2568981	92681908	
1993	SD	2664396	2591115	5255511	
2011	WV	76404053.1	2595570.44	78999623.54	
1996	IN	107296230	2605872	109902102	
1993	IN	101023825	2611313	103635138	
1999	UT	34150879	2633749	36784628	
1999	ND	28749559	2667844	31417403	
1995	IN	106484250	2672596	109156846	
1997	IN	112047911	2680996	114728907	
2013	NM	33178361.79	2692603.39	35870965.18	
2012	KY	87246951.98	2702736.72	89949688.7	
2014	WV	78330726.73	2728849.94	81059576.67	
1992	IN	98289201	2729363	101018564	
2012	WV	70653771.13	2759633.57	73413404.7	
2012	NM	33839239.14	2796670.3	36635909.44	
1994	OK	47252350	2806422	50058772	
2003	NV	30355531	2839357	33194888	
2014	UT	40917380.73	2867145.15	43784525.88	
2014	NM	29394444.23	2911765.64	32306209.87	
2007	CO	50978090	2929402	53907492	
2004	NV	34733774	2933661	37667435	
2005	NV	37240384	2973368	40213752	
1998	UT	32918516	2991914	35910430	
2008	ND	29721271	3013308	32734579	
2010	KY	95179418	3038240	98217658	
2007	SD	3069278	3067327	6136605	
1995	OK	49599254	3068113	52667367	
2006	KY	95716024	3075990	98792014	
1997	OK	49741950	3122027	52863977	
1998	KY	87801358	3131670	90933028	
1993	KY	81842605	3155113	84997718	
2013	WV	72703828.49	3159238.15	75863066.64	
2008	SD	3912226	3170446	7082672	
1992	NV	20162951	3184592	23347543	
1996	ND	27705768	3202722	30908490	
2005	SD	3288078	3232691	6520769	
1997	UT	31472175	3240037	34712212	
1999	OK	51578942	3286417	54865359	
2008	NV	31798533	3291441	35089974	
2007	NV	29365631	3304105	32669736	
2000	IN	124502021	3317495	127819516	
1991	NV	18703178	3362026	22065204	
1997	ND	26484570	3368033	29852603	
1997	KY	88177813	3394282	91572095	
1994	NV	21122020	3395707	24517727	
2005	KY	94417850	3404569	97822419	
2006	NV	28455003	3405019	31860022	
2011	KY	94936484.86	3414497.32	98350982.18	
1995	KY	82738100	3427736	86165836	
2001	SD	3968007	3432736	7400743	
2002	NV	28649157	3439778	32088935	
1996	KY	84941235	3506261	88447496	
1993	NV	19988039	3514433	23502472	
1995	NV	20442130	3521864	23963994	
1999	IN	118238783	3525718	121764501	
1992	OK	46474916	3531532	50006448	
2009	WY	42492461	3536751	46029212	
2006	SD	3586388	3545855	7132243	
2002	IN	122059283	3548857	125608140	
2004	OK	57155277	3574283	60729560	
2013	KY	86130541.79	3610479.43	89741021.22	
1992	SD	2634404	3612010	6246414	
2003	IN	121261006	3627211	124888217	
2005	OK	64969118	3638709	68607827	
2014	KY	87254937.43	3641497.64	90896435.07	
2007	IN	126984698	3653301	130637999	
1991	KY	71847280	3657801	75505081	
2008	IN	125850633	3659661	129510294	
2005	IN	126709577	3661996	130371573	
2001	IN	118889654	3680019	122569673	
1998	OK	52539340	3689903	56229243	
2009	KY	86932308	3698119	90630427	
2001	NV	30162371	3713595	33875966	
1996	NV	21836104	3744304	25580408	
1992	UT	29488898	3748241	33237139	
2004	SD	3755027	3755187	7510214	
1992	KY	73584027	3767232	77351259	
2000	NV	31663504	3821411	35484915	
1991	SD	2744550	3828116	6572666	
2001	KY	91552565	3865061	95417626	
1993	IA	28037558	4011455	32049013	
1994	KY	80083444	4013590	84097034	
2006	IN	126474985	4014803	130489788	
2006	UT	37188815	4074509	41263324	
1997	NV	22840365	4191157	27031522	
2004	KY	90321450	4208497	94529947	
2004	IN	123534415	4235981	127770396	
1999	NV	26289548	4242583	30532131	
2003	KY	87449856	4268964	91718820	
2009	NV	33433741	4271392	37705133	
2003	SD	3623285	4320552	7943837	
2002	SD	3362262	4359696	7721958	
2009	IN	112298113	4372167	116670280	
2002	KY	87716454	4390214	92106668	
1992	IA	26072109	4424818	30496927	
2010	NV	30696652	4449596	35146248	
2009	ND	29668588	4527879	34196467	
2010	WY	43501652	4617602	48119254	
1993	VT	25587	4618178	4643765	
1993	OK	48511061	4648612	53159673	
2011	NV	27262913.52	4673004.39	31935917.91	
1998	NV	25903702	4709818	30613520	
1998	IA	33677406	4771383	38448789	
1995	IA	29955454	4797474	34752928	
1992	VT	65808	4804334	4870142	
2009	SD	3306007	4890524	8196531	
1998	VT	43122	4903175	4946297	
1996	IA	29759822	4928793	34688615	
1999	IA	33798064	5003417	38801481	
1997	IA	30361108	5057832	35418940	
2007	UT	40306226	5066349	45372575	
1991	IA	27194667	5073189	32267856	
2009	CO	45489501	5076451	50565952	
2007	OK	67742336	5076759	72819095	
2010	CO	45639047	5081745	50720792	
2013	UT	37418511.25	5098239.57	42516750.82	
2008	CO	48334133	5107461	53441594	
1994	SD	2862500	5128760	7991260	
1995	VT	20077	5139985	5160062	
1994	IA	27929167	5237839	33167006	
1991	VT	100585	5287400	5387985	
2001	IA	35360575	5297937	40658512	
1996	VT	3854	5346265	5350119	
2012	NV	29744964.61	5428298.59	35173263.2	
2001	VT	42740	5437874	5480614	
2002	VT	12681	5443509	5456190	
2004	VT	21024	5449355	5470379	
2013	WY	46988423.29	5494642.11	52483065.4	
1994	VT	12160	5604870	5617030	
