YEAR	STATE	UNSUSTAINABLE	SUSTAINABLE	TOTAL GENERATION	
1995	AR	25532440	16439648	41972088	
2000	MD	34692536	16452844	51145380	
2009	WI	43476586	16482474	59959060	
2011	OH	119062966.6	16522837.83	135585804.5	
2011	WI	46763432.51	16525911.26	63289343.77	
2012	MD	21266972.5	16542771.05	37809743.55	
2005	MN	36433421	16585574	53018995	
1997	OH	126198261	16612987	142811248	
2002	MN	36164952	16613013	52777965	
2013	KS	31798563.9	16674017.4	48472581.3	
2003	MN	38373029	16677966	55050995	
2001	OH	125554350	16707457	142261807	
2010	MD	26887622	16719642	43607264	
2002	CT	14433557	16877662	31311219	
2007	OH	138253322	16902223	155155545	
2013	WI	49050727.29	16912064.5	65962791.79	
2011	IA	39361563.03	17010349.62	56371912.65	
2006	MN	36125436	17112353	53237789	
1999	AR	29371368	17182571	46553939	
2006	MD	31758954	17197926	48956880	
2010	OH	126398292	17200045	143598337	
2013	MD	18615611.47	17235200.86	35850812.33	
2014	MD	20572636.82	17261015.6	37833652.42	
2007	MD	32924944	17272980	50197924	
1994	MI	81033688	17273701	98307389	
2004	OH	130936058	17409847	148345905	
2008	CT	12970310	17439163	30409473	
2001	CT	12996945	17493701	30490646	
2009	MD	26260090	17514742	43774832	
2005	CT	16016226	17533521	33549747	
2003	MD	34706911	17537326	52244237	
1991	AR	23037855	17613389	40651244	
1999	OH	124690585	17639846	142330431	
2014	CT	16022266.78	17654713.63	33676980.41	
1995	OH	121684313	17659589	139343902	
2005	MD	34995347	17666253	52661600	
1998	OH	130271597	17668460	147940057	
1996	AR	28296108	17737455	46033563	
1998	AR	27852632	17812669	45665301	
1999	MI	85403103	17836612	103239715	
2011	CT	15879761.81	17865458.8	33745220.61	
2008	MD	29472226	17888727	47360953	
2010	WI	46383849	17930218	64314067	
1995	NJ	27090789	18007869	45098658	
2007	MN	36437449	18040197	54477646	
2007	CT	14979541	18191668	33171209	
2011	MD	23598563.39	18219504.8	41818068.19	
2003	CT	11324579	18220471	29545050	
2006	OH	137133773	18300302	155434075	
2000	OH	130758110	18302170	149060280	
2004	MD	33675601	18377169	52052770	
1994	LA	60995390	18390571	79385961	
2004	CT	14102990	18530418	32633408	
1992	CT	10673662	18537718	29211380	
2006	AR	33626179	18542524	52168703	
2005	AR	29250905	18543604	47794509	
2010	CT	14729003	18620620	33349623	
2006	CT	16044831	18636905	34681736	
2009	CT	12561726	18644496	31206222	
2014	AR	42863736.59	18728400.07	61592136.66	
2008	OH	134616639	18795612	153412251	
2012	CT	17301787.97	18815755.98	36117543.95	
1999	LA	71113284	18828469	89941753	
2001	AR	28350764	18841271	47192035	
2013	CT	16767001.64	18843787.68	35610789.32	
2011	AR	42420751.51	18886784.38	61307535.89	
1997	LA	63869827	18951816	82821643	
1994	AR	23077058	18955090	42032148	
2000	CT	13927157	19040413	32967570	
2012	WI	44618009.5	19124900.39	63742909.89	
2012	IA	37378793.78	19296610.14	56675403.92	
2003	AR	31093933	19307168	50401101	
1997	AR	25883257	19310343	45193600	
2012	AR	45580902.45	19424775.53	65005677.98	
2014	KS	30249686.45	19478676.66	49728363.11	
1993	TX	280194584	19494131	299688715	
1991	LA	55387620	19585073	74972693	
1993	AR	20867916	19630738	40498654	
2013	OH	117643984.1	19640204.57	137284188.7	
2014	OH	114762169.3	19714235.65	134476405	
1993	LA	59254519	19721016	78975535	
2002	AR	27861034	19750611	47611645	
2008	MN	34852716	19910644	54763360	
2012	OH	109535152.9	20210577.7	129745730.6	
2009	MN	32238968	20252881	52491849	
2010	AR	40666701	20333484	61000185	
2012	LA	83015472.09	20392233.72	103407705.8	
2007	AR	34202584	20393652	54596236	
2008	AR	34639352	20411176	55050528	
2008	LA	71749441	20703700	92453141	
1996	LA	56969257	20770639	77739896	
1995	LA	63693435	20866289	84559724	
2004	AR	30961268	20966364	51927632	
1995	CT	10456261	21016207	31472468	
2009	AR	36385133	21072606	57457739	
2000	LA	71694467	21171168	92865635	
2010	MN	32454453	21215774	53670227	
2013	MN	29846018.65	21450968.96	51296987.61	
2011	MN	31647306.09	21472755.4	53120061.49	
1998	LA	68050246	21598365	89648611	
2014	IA	35249209.56	21604072.91	56853282.47	
2013	IA	34873813.06	21796943.86	56670756.92	
1992	MI	73504108	21817831	95321939	
2005	LA	70796353	21820525	92616878	
2011	LA	83657460.53	21833276.43	105490737	
2009	LA	68928109	22065567	90993676	
2001	LA	65790839	22103538	87894377	
1994	CT	9064923	22113994	31178917	
2000	MI	82063526	22146068	104209594	
2012	MN	29840572.66	22353051.52	52193624.18	
1992	NJ	21232489	22431525	43664014	
2006	LA	68200636	22721193	90921829	
2002	LA	71816290	23154674	94970964	
1994	NJ	25220767	23214575	48435342	
2007	LA	69216831	23361498	92578329	
1993	CT	9276734	23607837	32884571	
2003	LA	71261076	23623964	94885040	
2014	LA	80572657.37	23656744.26	104229401.6	
2013	LA	78299085.62	23711091.37	102010177	
1994	TN	54324954	24010003	78334957	
2010	LA	78548672	24336268	102884940	
2004	LA	73730664	24441645	98172309	
1993	VA	36288876	24954634	61243510	
2014	MN	31888848.27	25109481.69	56998329.96	
1997	MI	81590815	25379944	106970759	
1995	TN	60207484	25523351	85730835	
2009	MI	75666483	25536122	101202605	
1991	NJ	17981137	25545329	43526466	
2012	FL	195352058	25744078.02	221096136	
1992	VA	30553589	25798765	56352354	
1992	TN	51932774	25815338	77748112	
1991	VA	28906274	25822820	54729094	
1993	NJ	22486034	25858848	48344882	
2001	VA	47427595	26677155	74104750	
1991	FL	112372253	27044436	139416689	
1995	VA	35529589	27466432	62996021	
1991	TX	258780939	27547769	286328708	
1991	TN	48606258	27586548	76192806	
1995	MI	79630753	27813859	107444612	
2003	VA	47492733	27816687	75309420	
1994	VA	34161985	27886939	62048924	
2011	VA	38716132.94	27954726.13	66670859.07	
2004	NJ	27709532	28172810	55882342	
2002	VA	46261912	28743739	75005651	
1998	NJ	24855925	29001708	53857633	
1991	AL	59613166	29173446	88786612	
1993	AZ	39294186	29174800	68468986	
1996	VA	37689841	29205286	66895127	
2010	VA	43751207	29215249	72966456	
2001	OR	15530241	29521665	45051906	
2001	MI	82186562	29659048	111845610	
1997	VA	38810024	29705310	68515334	
2000	VA	47353187	29836183	77189370	
2007	VA	48421535	29938972	78360507	
1991	MI	76035868	29942256	105978124	
1998	VA	42038564	30160875	72199439	
2011	FL	191635778.6	30258795.51	221894574.1	
2000	NJ	27684640	30400575	58085215	
2008	VA	42241799	30436732	72678531	
1999	VA	43446742	30450869	73897611	
1993	AL	68790243	30546753	99336996	
1992	NC	58970373	30564882	89535255	
2006	VA	42342803	30726734	73069537	
1996	MI	81719517	30798792	112518309	
1999	NJ	25956098	30847323	56803421	
1993	NC	64374659	30939785	95314444	
1994	AZ	40978835	30955661	71934496	
2005	VA	47984304	30958741	78943045	
2006	AZ	73385273	31007255	104392528	
2003	MI	80215920	31131140	111347060	
2012	VA	39582511.91	31156723.03	70739234.94	
2009	VA	38888332	31193734	70082066	
1997	FL	136969910	31277083	168246993	
2003	NJ	26106693	31292658	57399351	
2010	FL	197654181	31441754	229095935	
1993	MI	74740868	31627681	106368549	
2004	VA	47247427	31652613	78900040	
1994	OR	6676650	31764162	38440812	
2001	NJ	27323866	32097394	59421260	
2002	NJ	29405045	32164342	61569387	
1991	AZ	34901535	32301016	67202551	
2005	AZ	69079784	32398870	101478654	
2000	TN	63430451	32408133	95838584	
1992	AL	62751600	32482822	95234422	
1992	FL	111247055	32530088	143777143	
2006	TN	61322344	32588758	93911102	
2005	OR	16735669	32589334	49325003	
2005	NJ	27932047	32617536	60549583	
1992	TX	257662710	32629603	290292313	
1992	AZ	37894368	32658359	70552727	
2013	VA	44124956.32	32771608.74	76896565.06	
2008	TN	57741043	32922269	90663312	
2012	MI	75209932.57	32956145.1	108166077.7	
2006	MI	79592003	32964735	112556738	
2007	NJ	29415773	33255472	62671245	
1993	FL	118620567	33313589	151934156	
2010	MI	78235664	33315707	111551371	
2007	AZ	79793859	33547111	113340970	
2008	NJ	30105558	33569231	63674789	
1996	FL	133475987	33608949	167084936	
2014	NJ	34426223.69	33624862.16	68051085.85	
1991	GA	62384930	33788201	96173131	
2006	NJ	26799818	33900321	60700139	
2007	TN	61191266	33922143	95113409	
2012	TN	43638948.44	34085315.36	77724263.8	
2010	NJ	31555125	34127369	65682494	
2014	VA	42905056.9	34232381.51	77137438.41	
2002	MI	83656411	34232676	117889087	
2004	OR	17143777	34237501	51381278	
2003	OR	14592640	34373499	48966139	
1995	AL	70782556	34406810	105189366	
1996	TN	57689687	34432681	92122368	
2004	MI	84050131	34437138	118487269	
2013	FL	187869389.4	34529534.56	222398924	
1994	FL	123514421	34632425	158146846	
2007	MI	84650108	34659828	119309936	
2012	NJ	30253158.84	35010249.11	65263407.95	
2008	MI	79915011	35074795	114989806	
2011	NJ	29521759.92	35172336.05	64694095.97	
1999	TN	58086819	35233318	93320137	
2010	OR	19781031	35345968	55126999	
1993	GA	66086693	35360878	101447571	
2013	NJ	29259747.19	35491194.52	64750941.71	
2002	OR	11599282	35500087	47099369	
1995	AZ	34227163	35553776	69780939	
1994	TX	271546116	35633408	307179524	
2001	TN	60585599	35636377	96221976	
2002	TN	60444867	35669395	96114262	
1997	TN	61071894	35742179	96814073	
2009	NJ	26003049	35808190	61811239	
2007	OR	19223579	35854215	55077794	
1994	AL	64797093	35967164	100764257	
2014	FL	193965685.8	36050251.53	230015937.3	
2010	TN	46189483	36159142	82348625	
2013	MI	69165325.85	36252474.71	105417800.6	
2003	TN	55954095	36267696	92221791	
2009	FL	181546397	36405911	217952308	
2004	AZ	68116015	36448128	104564143	
2008	GA	99661231	36512164	136173395	
1993	OR	5332127	36577458	41909585	
1992	GA	60770649	36587580	97358229	
1995	FL	130804492	36609880	167414372	
2005	MI	84964427	36655344	121619771	
2001	AZ	53247900	36663372	89911272	
2008	AZ	82714586	36744586	119459172	
2011	TN	44231845.04	36872017.18	81103862.22	
2011	MI	72273092.53	36896414.34	109169506.9	
2005	FL	183311530	36944882	220256412	
2007	FL	188418165	36997895	225416060	
1994	GA	67330982	37025427	104356409	
1992	OR	5240647	37104727	42345374	
2014	TN	42259327.15	37247559.33	79506886.48	
2008	OR	21446274	37272164	58718438	
2005	TN	59813168	37303997	97117165	
2003	AZ	57072727	37323491	94396218	
2009	OR	19338308	37352548	56690856	
1999	GA	79935895	37402850	117338745	
2009	AZ	74508686	37462564	111971250	
2009	TN	42229491	37487398	79716889	
2011	GA	87254232.54	37495108.62	124749341.2	
2006	GA	100298809	37711399	138010208	
2000	GA	85972180	37905233	123877413	
1991	NC	51428880	37946404	89375284	
2007	GA	107164700	37990458	145155158	
1996	GA	66280832	38039209	104320041	
2009	GA	90633619	38064757	128698376	
1997	GA	69322847	38303111	107625958	
2010	AZ	73386183	38364774	111750957	
1996	AZ	33258733	38396085	71654818	
2002	AZ	55577092	38554574	94131666	
2001	FL	152377482	38567862	190945344	
1995	GA	69252104	38626492	107878596	
2012	GA	83631722.5	38674641.35	122306363.9	
2005	GA	97986385	38681507	136667892	
2001	GA	79597593	38719196	118316789	
2000	OR	12970989	38818986	51789975	
1998	FL	150724286	38904710	189628996	
2000	AZ	49918251	39028326	88946577	
2004	TN	58542932	39051610	97594542	
2014	GA	86633721.34	39203502.19	125837223.5	
2006	FL	184513566	39238055	223751621	
1998	TN	58396976	39331481	97728457	
1999	FL	147927513	39335913	187263426	
2004	FL	178694196	39423732	218117928	
2003	FL	173172569	39437442	212610011	
2008	FL	180157277	39479541	219636818	
1998	GA	75742383	39581323	115323706	
2002	GA	86921839	39590376	126512215	
2006	OR	13621090	39719605	53340695	
2010	GA	97823062	39753879	137576941	
2004	GA	87019143	39793572	126812715	
2003	GA	84109539	39967295	124076834	
2013	AZ	73219971.87	40106014.25	113325986.1	
2013	GA	80837651.26	40116083.04	120953734.3	
2000	FL	151687726	40128114	191815840	
1997	NC	75268486	40226203	115494689	
2014	MI	66474011.31	40342979.7	106816991	
2012	AZ	70452587.11	40452406.48	110904993.6	
1998	OR	10658319	40490165	51148484	
1999	AZ	43389965	40503208	83893173	
2002	FL	162771779	40580996	203352775	
2011	AZ	67008241.54	41117115.35	108125356.9	
1995	OR	3910993	41354560	45265553	
2000	AL	82912080	41493260	124405340	
1998	AZ	40554847	41540225	82095072	
2013	OR	18128187.43	41767327.23	59895514.66	
1997	AZ	37028339	41796861	78825200	
1996	NC	70349317	41848424	112197741	
1994	NC	58886866	41941796	100828662	
2013	TN	37633025.76	42018593.67	79651619.43	
2014	AZ	69963751.39	42293436.07	112257187.5	
2001	NC	75147866	42347984	117495850	
2007	AL	101382458	42443813	143826271	
2001	AL	82245345	43099768	125345113	
1996	TX	285793984	43154949	328948933	
2006	AL	97696056	43199385	140895441	
1999	AL	77419585	43237923	120657508	
1999	NC	74084239	43273376	117357615	
1991	OR	4048353	43396536	47444889	
1995	NC	62736304	43558352	106294656	
1998	AL	76145408	43716717	119862125	
2014	OR	15901434.79	44218472.41	60119907.2	
1999	TX	314676591	44268153	358944744	
1995	TX	273303451	44332795	317636246	
2000	NC	77901547	44372809	122274356	
2001	TX	328014305	44565697	372580002	
2002	AL	88257777	44662893	132920670	
2003	TX	334416115	44783570	379199685	
1997	TX	291519706	44799804	336319510	
2008	NC	80312350	44926713	125239063	
1997	AL	74450351	45091981	119542332	
2002	NC	79340638	45127392	124468030	
2007	NC	84935370	45179931	130115301	
1996	AL	76291102	45181809	121472911	
1996	OR	5563858	45447916	51011774	
2000	TX	332220901	45521464	377742365	
2005	AL	92331018	45617563	137948581	
2002	TX	339901615	45726927	385628542	
2006	NC	79133706	46081078	125214784	
1998	TX	309150041	46170123	355320164	
1999	OR	10611113	46237234	56848347	
2004	AL	91103668	46251103	137354771	
2012	NC	70412448.44	46269314.66	116681763.1	
1998	NC	74925134	46453690	121378824	
2012	OR	14264947.8	46667766.72	60932714.52	
1991	SC	25083860	47096147	72180007	
2011	NC	71131203.74	47258651.18	118389854.9	
1997	OR	5130513	47282341	52412854	
1996	SC	31338849	47429703	78768552	
2004	NC	78715678	47614279	126329957	
2005	NC	82113946	47634632	129748578	
2011	OR	11839199.69	47855964.44	59695164.13	
2010	NC	80691824	47986659	128678483	
2009	NC	70231526	48175877	118407403	
2003	AL	89276633	48210589	137487222	
1994	SC	28345559	48596963	76942522	
1997	SC	32229090	48598968	80828058	
2008	AL	97171832	48698063	145869895	
2005	TX	347605976	49062746	396668722	
2010	AL	102485282	49665230	152150512	
2014	NC	78435491.97	49708096.16	128143588.1	
1992	SC	24107231	50063278	74170509	
2003	NC	77140292	50442027	127582319	
1993	SC	27649914	50524921	78174835	
2013	NC	75272289.53	50664003.83	125936293.4	
2004	TX	339368224	50930908	390299132	
2001	SC	38183223	50975764	89158987	
2012	AL	101421503.4	51457184.31	152878687.7	
2011	AL	104608791	51730418.84	156339209.8	
1997	IL	82931793	52208976	135140769	
2000	SC	40586435	52759805	93346240	
1998	SC	34298827	52947734	87246561	
1999	SC	37238058	52995450	90233508	
2006	SC	45777824	53489782	99267606	
1992	NY	72448658	53500266	125948924	
2008	SC	47449150	53528855	100978005	
1995	SC	27284512	53629136	80913648	
2014	AL	95669800.61	53670646.48	149340447.1	
1995	NY	79613709	53799572	133413281	
2012	SC	42836422.67	53919259.21	96755681.88	
2003	SC	39551676	54221001	93772677	
2004	SC	43591369	54348560	97939929	
2006	TX	346050757	54532121	400582878	
2002	SC	41746378	54817120	96563498	
2009	SC	44781189	55344297	100125486	
2010	SC	48789082	55364051	104153133	
2007	SC	47764515	55637627	103402142	
2011	SC	47216449.73	55756117.44	102972567.2	
2009	AL	87445081	55810475	143255556	
2014	SC	40566520.58	56591944.35	97158464.93	
1991	NY	77954533	56645966	134600499	
1998	IL	81741924	56722638	138464562	
2005	SC	45724676	56789989	102514665	
2013	AL	93711000.15	56861923.71	150572923.9	
2007	TX	348119074	57373222	405492296	
1993	NY	66650198	57570833	124221031	
2000	NY	79683469	58395606	138079075	
1994	NY	67550963	58478609	126029572	
2013	SC	36344568.19	58905325.78	95249893.97	
1991	PA	112263626	60499083	172762709	
1997	NY	78928086	61903562	140831648	
1998	NY	82637161	62226087	144863248	
2008	TX	341412439	63375342	404787781	
1999	NY	82669322	63611544	146280866	
1993	PA	117014807	64199325	181214132	
2001	WA	18776962	64271707	83048669	
1992	PA	114480531	64925114	179405645	
2001	NY	78641230	65273329	143914559	
1996	NY	69837765	65894484	135732249	
2002	NY	73224414	66367274	139591688	
1998	PA	124783901	66407617	191191518	
2004	NY	71351947	66612847	137964794	
2003	NY	71029015	66614301	137643316	
2009	TX	329577686	67590224	397167910	
2005	NY	76483124	70404295	146887419	
1995	PA	114908429	70542882	185451311	
2007	NY	75234282	70644405	145878687	
1996	IL	76991606	70741423	147733029	
2012	NY	64593579.78	71174671.29	135768251.1	
1994	PA	111771663	72307038	184078701	
2006	NY	69879757	72385675	142265432	
2010	NY	64503286	72458368	136961654	
1991	IL	57706150	72568195	130274345	
1997	PA	120864515	72598683	193463198	
1994	IL	67974923	73324372	141299295	
2008	NY	66755913	73566187	140322100	
1994	WA	14697333	73889143	88586476	
2010	TX	337763551	73931495	411695046	
1996	PA	117883810	73988813	191872623	
1992	IL	53558081	74488147	128046228	
1992	WA	10957656	75524773	86482429	
1993	WA	12092458	75903318	87995776	
2009	NY	57186776	75963774	133150550	
2014	NY	61108296.57	76013905.57	137122202.1	
1999	PA	118512625	76015420	194528045	
2013	NY	60058864.66	76057965.31	136116830	
2011	NY	61420395.72	76059951.23	137480347	
2011	TX	359373489.3	76103434.28	435476923.6	
2012	TX	353473708.8	76338800.95	429812509.8	
2014	CA	121297500.4	77510121.43	198807621.8	
2001	PA	118499332	78077259	196576591	
2012	CA	121333234.6	78185332.1	199518566.7	
2000	PA	122659788	79028192	201687980	
1993	IL	64351018	79102073	143453091	
2013	TX	354153460.4	79226705.28	433380165.7	
1995	IL	69312712	79345219	148657931	
2013	CA	120414885	79662229.62	200077114.6	
2003	PA	126063746	80285767	206349513	
1991	CA	78608698	80338944	158947642	
2002	PA	123354922	80967956	204322878	
2006	PA	137618088	81193507	218811595	
2001	CA	117220015	81376060	198596075	
2005	PA	136680566	81410559	218091125	
2003	WA	18238992	81855699	100094691	
2007	PA	143374768	82713572	226088340	
2005	WA	19140248	82825602	101965850	
1999	IL	80486541	82923979	163410520	
2012	PA	140493797.6	82925917.83	223419715.5	
2004	WA	18964015	83201037	102165052	
1992	CA	93952836	83202623	177155459	
2004	PA	131131243	83527258	214658501	
2009	PA	135604576	83891568	219496144	
2008	CA	124013728	83970535	207984263	
2014	TX	353172913.7	84456754.15	437629667.9	
2011	PA	142836970.7	84477751.63	227314722.4	
2010	WA	18918644	84554085	103472729	
2009	WA	19502518	84967615	104470133	
1994	CA	101114632	85077359	186191991	
2010	PA	144658245	85094061	229752306	
2008	PA	137251943	85098982	222350925	
2009	CA	117056250	87719882	204776132	
2013	PA	138840983.3	87944647.19	226785630.5	
2014	PA	132809868	88248497.46	221058365.5	
1998	WA	13745597	88412911	102158508	
2002	WA	13453418	89311630	102765048	
2004	CA	104722938	90057417	194780355	
2002	CA	93912919	90297112	184210031	
2007	CA	120332750	90514831	210847581	
2000	WA	17629302	90607578	108236880	
2000	IL	87621415	90874666	178496081	
2007	WA	15881252	91108965	106990217	
1995	WA	10971464	91226122	102197586	
2002	IL	95986765	92067684	188054449	
2008	WA	18606187	92222264	110828451	
2004	IL	98557280	93400498	191957778	
2010	CA	110681823	93443773	204125596	
2001	IL	85662935	93586350	179249285	
2006	WA	13906463	94296692	108203155	
2005	IL	99706631	94413515	194120146	
1991	WA	8436367	94434195	102870562	
2006	IL	97063509	95363449	192426958	
2013	WA	18189097.97	95983818.26	114172916.2	
2003	IL	93004729	96050531	189055260	
2003	CA	96150735	96637807	192788542	
2007	IL	102938108	97322573	200260681	
1997	CA	75426226	97371369	172797595	
2008	IL	101046636	98428542	199475178	
2014	WA	17802284.31	98532078.2	116334362.5	
1999	CA	89532860	98786363	188319223	
2009	IL	94574111	99290246	193864357	
2000	CA	108422374	99660109	208082483	
1993	CA	86375802	100614840	186990642	
2010	IL	99444842	101907030	201351872	
2005	CA	98032921	102259897	200292818	
2011	IL	96053365.57	103446362.5	199499728	
1995	CA	77656865	103806476	181463341	
1999	WA	12451211	104632807	117084018	
2011	WA	10115239.66	105147361.2	115262600.8	
2012	IL	92087134.62	105478228.1	197565362.7	
1996	CA	69775933	105487271	175263204	
1996	WA	12961630	105696502	118658132	
2006	CA	110294632	106504056	216798688	
2012	WA	9227262.17	107608211.4	116835473.6	
2013	IL	94827257.85	108177661.6	203004919.5	
2011	CA	91866584.68	108938257.8	200804842.5	
2014	IL	92834571.48	109309306.5	202143878	
1998	CA	79504134	110096572	189600706	
1997	WA	10180769	111945398	122126167	
