YEAR,MONTH,STATE,SECTOR_NAME,ENERGY_SOURCE,GENERATION
2013,1,AK,Total Electric Power Industry,Total,640200.25
2013,1,AK,Total Electric Power Industry,Coal,59028.96
2013,1,AK,Total Electric Power Industry,Hydroelectric Conventional,129986.59
2013,1,AK,Total Electric Power Industry,Natural Gas,345356.91
2013,1,AK,Total Electric Power Industry,Other,-15.55
2013,1,AK,Total Electric Power Industry,Other Biomass,2617.78
2013,1,AK,Total Electric Power Industry,Petroleum,95148.93
2013,1,AK,Total Electric Power Industry,Wind,8076.64
2013,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2013,1,AK,"Electric Generators, Independent Power Producers",Total,2578.5
2013,1,AK,"Electric Generators, Independent Power Producers",Wind,2578.5
2013,1,AK,"Electric Generators, Electric Utilities",Total,580431.73
2013,1,AK,"Electric Generators, Electric Utilities",Coal,16505.07
2013,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,129986.59
2013,1,AK,"Electric Generators, Electric Utilities",Natural Gas,338822.1
2013,1,AK,"Electric Generators, Electric Utilities",Other,-15.55
2013,1,AK,"Electric Generators, Electric Utilities",Petroleum,89635.37
2013,1,AK,"Electric Generators, Electric Utilities",Wind,5498.14
2013,1,AK,"Combined Heat and Power, Industrial Power",Total,11482.09
2013,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6021.48
2013,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,326.56
2013,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,5134.06
2013,1,AK,"Combined Heat and Power, Electric Power",Total,18068
2013,1,AK,"Combined Heat and Power, Electric Power",Coal,18068
2013,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2013,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2013,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2013,1,AK,"Combined Heat and Power, Commercial Power",Total,27639.94
2013,1,AK,"Combined Heat and Power, Commercial Power",Coal,24455.88
2013,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,513.34
2013,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,2291.22
2013,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,379.5
2013,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2013,1,AL,Total Electric Power Industry,Total,12877588.39
2013,1,AL,Total Electric Power Industry,Coal,3558450.63
2013,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1458415.29
2013,1,AL,Total Electric Power Industry,Natural Gas,3750662.85
2013,1,AL,Total Electric Power Industry,Nuclear,3824937
2013,1,AL,Total Electric Power Industry,Other,214.42
2013,1,AL,Total Electric Power Industry,Other Biomass,368.8
2013,1,AL,Total Electric Power Industry,Other Gases,20228.39
2013,1,AL,Total Electric Power Industry,Petroleum,9998.36
2013,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,254312.63
2013,1,AL,"Electric Generators, Independent Power Producers",Total,2055475.6
2013,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,2055178.92
2013,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,206.45
2013,1,AL,"Electric Generators, Independent Power Producers",Petroleum,90.23
2013,1,AL,"Electric Generators, Electric Utilities",Total,10045938.29
2013,1,AL,"Electric Generators, Electric Utilities",Coal,3540711
2013,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1458415.29
2013,1,AL,"Electric Generators, Electric Utilities",Natural Gas,1213256.88
2013,1,AL,"Electric Generators, Electric Utilities",Nuclear,3824937
2013,1,AL,"Electric Generators, Electric Utilities",Petroleum,8618.12
2013,1,AL,"Combined Heat and Power, Industrial Power",Total,387752.5
2013,1,AL,"Combined Heat and Power, Industrial Power",Coal,17739.64
2013,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,107862.21
2013,1,AL,"Combined Heat and Power, Industrial Power",Other,214.42
2013,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,162.35
2013,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,20228.39
2013,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,1290.01
2013,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,240255.48
2013,1,AL,"Combined Heat and Power, Electric Power",Total,388422
2013,1,AL,"Combined Heat and Power, Electric Power",Coal,0
2013,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,374364.85
2013,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,14057.15
2013,1,AR,Total Electric Power Industry,Total,5649549.33
2013,1,AR,Total Electric Power Industry,Coal,2717869.5
2013,1,AR,Total Electric Power Industry,Hydroelectric Conventional,108029.41
2013,1,AR,Total Electric Power Industry,Natural Gas,1276886.21
2013,1,AR,Total Electric Power Industry,Nuclear,1388982
2013,1,AR,Total Electric Power Industry,Other,2958.19
2013,1,AR,Total Electric Power Industry,Other Biomass,9957.74
2013,1,AR,Total Electric Power Industry,Petroleum,2981.49
2013,1,AR,Total Electric Power Industry,Pumped Storage,764
2013,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,141120.78
2013,1,AR,"Electric Generators, Independent Power Producers",Total,762405.04
2013,1,AR,"Electric Generators, Independent Power Producers",Coal,167301.52
2013,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,1887.79
2013,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,585344
2013,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,5643.25
2013,1,AR,"Electric Generators, Independent Power Producers",Petroleum,2228.48
2013,1,AR,"Electric Generators, Electric Utilities",Total,4553459.26
2013,1,AR,"Electric Generators, Electric Utilities",Coal,2539974.45
2013,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,106141.62
2013,1,AR,"Electric Generators, Electric Utilities",Natural Gas,516945.98
2013,1,AR,"Electric Generators, Electric Utilities",Nuclear,1388982
2013,1,AR,"Electric Generators, Electric Utilities",Petroleum,651.2
2013,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,764
2013,1,AR,"Combined Heat and Power, Industrial Power",Total,182901.69
2013,1,AR,"Combined Heat and Power, Industrial Power",Coal,10593.53
2013,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,28127.38
2013,1,AR,"Combined Heat and Power, Industrial Power",Other,2958.19
2013,1,AR,"Combined Heat and Power, Industrial Power",Other Biomass,0
2013,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,101.8
2013,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,141120.78
2013,1,AR,"Combined Heat and Power, Electric Power",Total,150183
2013,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,146364
2013,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,3819
2013,1,AR,"Combined Heat and Power, Commercial Power",Total,600.34
2013,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,104.85
2013,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,495.49
2013,1,AZ,Total Electric Power Industry,Total,8809567.76
2013,1,AZ,Total Electric Power Industry,Coal,3755047.12
2013,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,554552.65
2013,1,AZ,Total Electric Power Industry,Natural Gas,1497395.24
2013,1,AZ,Total Electric Power Industry,Nuclear,2859327
2013,1,AZ,Total Electric Power Industry,Other,178.81
2013,1,AZ,Total Electric Power Industry,Other Biomass,5637.59
2013,1,AZ,Total Electric Power Industry,Petroleum,3545.98
2013,1,AZ,Total Electric Power Industry,Pumped Storage,1416
2013,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,91628.49
2013,1,AZ,Total Electric Power Industry,Wind,31272.72
2013,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,9566.18
2013,1,AZ,"Electric Generators, Independent Power Producers",Total,904706.94
2013,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,778979.81
2013,1,AZ,"Electric Generators, Independent Power Producers",Other,178.81
2013,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,3506.09
2013,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,81203.33
2013,1,AZ,"Electric Generators, Independent Power Producers",Wind,31272.72
2013,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,9566.18
2013,1,AZ,"Electric Generators, Electric Utilities",Total,7880948.07
2013,1,AZ,"Electric Generators, Electric Utilities",Coal,3755047.12
2013,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,554552.65
2013,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,695376.16
2013,1,AZ,"Electric Generators, Electric Utilities",Nuclear,2859327
2013,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,2131.5
2013,1,AZ,"Electric Generators, Electric Utilities",Petroleum,3543.09
2013,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,1416
2013,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,9554.56
2013,1,AZ,"Combined Heat and Power, Electric Power",Total,16088
2013,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,16088
2013,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2013,1,AZ,"Combined Heat and Power, Commercial Power",Total,7824.76
2013,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,6951.27
2013,1,AZ,"Combined Heat and Power, Commercial Power",Other Biomass,0
2013,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2.89
2013,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,870.59
2013,1,CA,Total Electric Power Industry,Total,15458493.07
2013,1,CA,Total Electric Power Industry,Coal,65337.66
2013,1,CA,Total Electric Power Industry,Geothermal,1068250.04
2013,1,CA,Total Electric Power Industry,Hydroelectric Conventional,1693727.28
2013,1,CA,Total Electric Power Industry,Natural Gas,9693411.39
2013,1,CA,Total Electric Power Industry,Nuclear,1672507
2013,1,CA,Total Electric Power Industry,Other,78201.93
2013,1,CA,Total Electric Power Industry,Other Biomass,237409.32
2013,1,CA,Total Electric Power Industry,Other Gases,110423.6
2013,1,CA,Total Electric Power Industry,Petroleum,2844.97
2013,1,CA,Total Electric Power Industry,Pumped Storage,-32630
2013,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,64635.97
2013,1,CA,Total Electric Power Industry,Wind,482259.68
2013,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,322114.24
2013,1,CA,"Electric Generators, Independent Power Producers",Total,5816572.32
2013,1,CA,"Electric Generators, Independent Power Producers",Geothermal,967816.1
2013,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,72116.86
2013,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,3907820.17
2013,1,CA,"Electric Generators, Independent Power Producers",Other,9728.67
2013,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,114675.41
2013,1,CA,"Electric Generators, Independent Power Producers",Petroleum,135
2013,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,57687.75
2013,1,CA,"Electric Generators, Independent Power Producers",Wind,457008.77
2013,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,229583.58
2013,1,CA,"Electric Generators, Electric Utilities",Total,6625464.71
2013,1,CA,"Electric Generators, Electric Utilities",Geothermal,73938
