YEAR,MONTH,STATE,SECTOR_NAME,ENERGY_SOURCE,GENERATION
2014,1,AK,Total Electric Power Industry,Total,589929.95
2014,1,AK,Total Electric Power Industry,Coal,57245.82
2014,1,AK,Total Electric Power Industry,Hydroelectric Conventional,128768.9
2014,1,AK,Total Electric Power Industry,Natural Gas,301233.8
2014,1,AK,Total Electric Power Industry,Other,2315.16
2014,1,AK,Total Electric Power Industry,Other Biomass,5275.18
2014,1,AK,Total Electric Power Industry,Petroleum,78671.83
2014,1,AK,Total Electric Power Industry,Wind,16419.25
2014,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2014,1,AK,"Electric Generators, Independent Power Producers",Total,5057.77
2014,1,AK,"Electric Generators, Independent Power Producers",Wind,5057.77
2014,1,AK,"Electric Generators, Electric Utilities",Total,527522.79
2014,1,AK,"Electric Generators, Electric Utilities",Coal,17270.99
2014,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,128768.9
2014,1,AK,"Electric Generators, Electric Utilities",Natural Gas,293864.98
2014,1,AK,"Electric Generators, Electric Utilities",Other,2315.16
2014,1,AK,"Electric Generators, Electric Utilities",Petroleum,73941.27
2014,1,AK,"Electric Generators, Electric Utilities",Wind,11361.48
2014,1,AK,"Combined Heat and Power, Industrial Power",Total,11999.8
2014,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6704.01
2014,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,938.54
2014,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4357.25
2014,1,AK,"Combined Heat and Power, Electric Power",Total,16976.84
2014,1,AK,"Combined Heat and Power, Electric Power",Coal,16976.84
2014,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2014,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2014,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2014,1,AK,"Combined Heat and Power, Commercial Power",Total,28372.75
2014,1,AK,"Combined Heat and Power, Commercial Power",Coal,22997.99
2014,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,664.8
2014,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,4336.65
