"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through July 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,360439
2016,1,AR,"Electric Generators, Independent Power Producers",Petroleum,584
2016,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1372
2016,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,6579
2016,1,AR,"Electric Generators, Electric Utilities",Total,4069750
2016,1,AR,"Electric Generators, Electric Utilities",Coal,1503010
2016,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,12681
2016,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,484142
2016,1,AR,"Electric Generators, Electric Utilities",Natural Gas,677759
2016,1,AR,"Electric Generators, Electric Utilities",Nuclear,1386411
2016,1,AR,"Electric Generators, Electric Utilities",Petroleum,5747
2016,1,AZ,Total Electric Power Industry,Total,8600251
2016,1,AZ,Total Electric Power Industry,Coal,2664710
2016,1,AZ,Total Electric Power Industry,Pumped Storage,-688
2016,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,616887
2016,1,AZ,Total Electric Power Industry,Natural Gas,2039289
2016,1,AZ,Total Electric Power Industry,Nuclear,3002325
2016,1,AZ,Total Electric Power Industry,Petroleum,2532
2016,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,211137
2016,1,AZ,Total Electric Power Industry,Other Biomass,5255
2016,1,AZ,Total Electric Power Industry,Wind,41681
2016,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,17123
2016,1,AZ,"Combined Heat and Power, Commercial Power",Total,11567
2016,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,10359
2016,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,3
2016,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1205
2016,1,AZ,"Combined Heat and Power, Electric Power",Total,3483
2016,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,3483
2016,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AZ,"Electric Generators, Independent Power Producers",Total,984054
2016,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,741588
2016,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,180149
2016,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,3513
2016,1,AZ,"Electric Generators, Independent Power Producers",Wind,41681
2016,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,17123
2016,1,AZ,"Electric Generators, Electric Utilities",Total,7601148
2016,1,AZ,"Electric Generators, Electric Utilities",Coal,2664710
2016,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,-688
2016,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,616887
2016,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,1283859
2016,1,AZ,"Electric Generators, Electric Utilities",Nuclear,3002325
2016,1,AZ,"Electric Generators, Electric Utilities",Petroleum,2530
2016,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,29783
2016,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,1742
2016,1,CA,Total Electric Power Industry,Total,14880954
2016,1,CA,Total Electric Power Industry,Coal,32177
2016,1,CA,Total Electric Power Industry,Geothermal,1018554
2016,1,CA,Total Electric Power Industry,Pumped Storage,-98440
2016,1,CA,Total Electric Power Industry,Hydroelectric Conventional,1092202
2016,1,CA,Total Electric Power Industry,Natural Gas,8919004
2016,1,CA,Total Electric Power Industry,Nuclear,1690198
2016,1,CA,Total Electric Power Industry,Other Gases,159067
2016,1,CA,Total Electric Power Industry,Other,70972
2016,1,CA,Total Electric Power Industry,Petroleum,3576
2016,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,760710
2016,1,CA,Total Electric Power Industry,Other Biomass,239751
2016,1,CA,Total Electric Power Industry,Wind,707600
2016,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,285583
2016,1,CA,"Combined Heat and Power, Industrial Power",Total,1298330
2016,1,CA,"Combined Heat and Power, Industrial Power",Coal,32177
2016,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,991795
2016,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,159067
2016,1,CA,"Combined Heat and Power, Industrial Power",Other,58422
2016,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,135
2016,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,556
2016,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,448
2016,1,CA,"Combined Heat and Power, Industrial Power",Wind,465
2016,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,55266
